15:06:51.163 -> Humidity: 23.20 %, Temp: 28.90 Celsius
15:06:53.157 -> Humidity: 23.20 %, Temp: 29.60 Celsius
15:06:55.155 -> Humidity: 23.20 %, Temp: 29.70 Celsius
15:06:57.181 -> Humidity: 23.10 %, Temp: 28.90 Celsius
15:06:59.199 -> Humidity: 23.40 %, Temp: 30.80 Celsius
15:07:01.178 -> Humidity: 24.50 %, Temp: 30.80 Celsius
15:07:03.195 -> Humidity: 24.60 %, Temp: 30.80 Celsius
15:07:05.221 -> Humidity: 23.40 %, Temp: 30.80 Celsius
15:07:07.205 -> Humidity: 23.30 %, Temp: 30.80 Celsius
15:07:09.229 -> Humidity: 23.20 %, Temp: 31.80 Celsius
15:07:11.253 -> Humidity: 23.30 %, Temp: 30.50 Celsius
15:07:13.234 -> Humidity: 23.70 %, Temp: 31.80 Celsius
15:07:15.258 -> Humidity: 24.80 %, Temp: 31.00 Celsius
15:07:17.284 -> Humidity: 25.70 %, Temp: 30.60 Celsius
15:07:19.306 -> Humidity: 25.70 %, Temp: 30.40 Celsius
15:07:21.287 -> Humidity: 25.40 %, Temp: 31.30 Celsius
15:07:23.309 -> Humidity: 25.50 %, Temp: 30.60 Celsius
15:07:25.334 -> Humidity: 25.70 %, Temp: 30.50 Celsius
15:07:27.317 -> Humidity: 25.60 %, Temp: 30.70 Celsius
15:07:29.341 -> Humidity: 25.90 %, Temp: 30.80 Celsius
15:07:31.372 -> Humidity: 24.70 %, Temp: 30.60 Celsius
15:07:33.347 -> Humidity: 23.70 %, Temp: 30.70 Celsius
15:07:35.371 -> Humidity: 23.50 %, Temp: 30.60 Celsius
15:07:37.398 -> Humidity: 23.60 %, Temp: 30.60 Celsius
15:07:39.378 -> Humidity: 24.70 %, Temp: 30.30 Celsius
15:07:41.395 -> Humidity: 24.20 %, Temp: 28.20 Celsius
15:07:43.425 -> Humidity: 25.10 %, Temp: 28.10 Celsius
15:07:45.406 -> Humidity: 25.20 %, Temp: 27.30 Celsius
15:07:47.432 -> Humidity: 24.30 %, Temp: 28.40 Celsius
15:07:49.460 -> Humidity: 23.40 %, Temp: 28.60 Celsius
15:07:51.441 -> Humidity: 23.10 %, Temp: 28.70 Celsius
15:07:53.466 -> Humidity: 23.20 %, Temp: 28.80 Celsius
15:07:55.490 -> Humidity: 23.30 %, Temp: 28.40 Celsius
15:07:57.470 -> Humidity: 23.40 %, Temp: 28.50 Celsius
15:07:59.495 -> Humidity: 23.50 %, Temp: 28.60 Celsius
